episode,score,total_reward,epsilon,steps,avg_loss,merge_rate,max_level_merges
199,2441,642,0.5800000000000001,189,3.026364344768423,84.12698412698413,0
200,2353,663,0.5778787878787879,171,3.2382102347256843,85.38011695906432,0
201,3061,854,0.5757575757575758,226,3.2808317594823584,84.51327433628319,0
202,4757,1250,0.5736363636363637,328,3.1913545371555703,90.85365853658537,1
203,2941,856,0.5715151515151515,216,3.219830207802631,84.25925925925925,0
204,3008,768,0.5693939393939393,218,3.2747399637458523,85.77981651376146,0
205,3653,1018,0.5672727272727274,260,3.3153895190128915,88.07692307692308,0
206,4009,1210,0.5651515151515152,288,3.364684750636419,89.93055555555556,1
207,3750,1019,0.563030303030303,276,3.284018994673439,88.76811594202898,0
208,3434,932,0.560909090909091,248,3.404654119283922,89.91935483870968,0
209,4693,1252,0.5587878787878788,317,3.3232837640900716,89.90536277602523,1
210,6450,1817,0.5566666666666668,448,3.5476185269653797,93.52678571428571,1
211,4278,1139,0.5545454545454546,276,3.6118909660456837,89.13043478260869,1
212,4152,1109,0.5524242424242425,290,3.4665187806918705,88.62068965517241,1
213,5084,1448,0.5503030303030304,346,3.5556038469937494,90.46242774566474,1
214,4460,1252,0.5481818181818183,316,3.3988349200049535,87.65822784810126,1
215,3780,933,0.5460606060606061,270,3.4636843500313934,90.74074074074075,0
216,2299,617,0.543939393939394,178,3.268279301986266,81.46067415730337,0
217,3221,786,0.5418181818181818,217,3.230373428164539,85.71428571428571,0
218,3146,826,0.5396969696969698,237,3.427611368617931,86.49789029535864,0
219,4555,1216,0.5375757575757576,319,3.4186125492974884,90.9090909090909,1
220,4774,1213,0.5354545454545455,329,3.391149344415288,89.96960486322189,1
221,3655,1038,0.5333333333333334,251,3.680026545942542,86.45418326693228,0
222,3009,937,0.5312121212121212,236,3.3219811825428978,86.01694915254238,0
223,2813,719,0.5290909090909092,205,3.7185973801263947,85.85365853658537,0
224,5808,1694,0.5269696969696971,399,3.3370805103378487,91.97994987468672,1
225,2941,828,0.5248484848484849,214,3.387095610115016,85.04672897196261,0
226,2860,805,0.5227272727272727,222,3.447763064423123,87.38738738738738,0
227,2149,665,0.5206060606060606,172,3.5530662668305775,81.3953488372093,0
228,4195,1265,0.5184848484848485,300,3.412160346110662,90.33333333333333,0
229,4358,1182,0.5163636363636364,302,3.3854580245270633,89.0728476821192,0
230,2250,607,0.5142424242424243,181,3.39375891738175,84.5303867403315,0
231,4471,1125,0.5121212121212122,295,3.5431812710681205,90.84745762711864,0
232,2846,763,0.51,213,3.516869586958012,87.32394366197182,0
233,2700,733,0.5078787878787879,195,3.285583395224351,84.61538461538461,0
234,4827,1378,0.5057575757575759,331,3.3770978834333736,91.23867069486404,1
235,4372,1092,0.5036363636363637,297,3.3835885777617944,89.56228956228956,0
236,2191,576,0.5015151515151516,178,3.489973861179995,78.08988764044943,0
237,5757,1601,0.4993939393939395,371,3.25950518901136,92.18328840970351,1
238,1877,550,0.4972727272727273,153,3.23189295117372,80.3921568627451,0
239,5313,1470,0.49515151515151523,352,3.5046421651813118,92.89772727272727,1
240,2829,768,0.49303030303030315,205,3.2993493603497015,88.29268292682927,0
241,2669,656,0.49090909090909096,197,3.2830373248473035,85.27918781725889,0
242,4295,1182,0.4887878787878789,305,3.8406928339942557,91.14754098360656,0
243,2133,605,0.4866666666666667,169,3.422792903064976,79.88165680473372,0
244,2090,605,0.4845454545454546,167,3.3932560739403,82.63473053892216,0
245,2419,669,0.48242424242424253,180,3.3491790983412,86.11111111111111,0
246,4100,1125,0.48030303030303034,290,3.486148540315957,88.96551724137932,1
247,2750,800,0.47818181818181826,202,3.3823293052097356,83.16831683168317,0
248,3579,969,0.4760606060606061,259,3.4307838503458323,88.8030888030888,0
249,2758,865,0.473939393939394,202,3.476323933294504,88.11881188118812,0
250,3689,1012,0.4718181818181819,260,3.3392899540754466,87.3076923076923,0
251,1974,537,0.4696969696969697,157,3.3645484849905514,79.61783439490446,0
252,3270,838,0.46757575757575764,234,3.4232523359804072,88.03418803418803,0
253,2842,826,0.46545454545454545,224,3.345766587981156,85.71428571428571,0
254,4551,1173,0.4633333333333334,310,3.4497663017242184,91.29032258064517,1
255,3776,930,0.4612121212121213,269,3.297518434577715,87.36059479553904,0
256,3469,854,0.4590909090909091,249,3.46886153584982,86.74698795180723,0
257,2130,637,0.456969696969697,188,3.407310128846067,80.85106382978722,0
258,2392,643,0.45484848484848484,170,3.6280673090149373,85.88235294117646,0
259,2429,680,0.45272727272727276,181,3.324102376706034,83.42541436464089,0
260,3436,956,0.4506060606060607,250,3.4618255925178527,87.6,0
261,2263,636,0.4484848484848485,175,3.5503124673025948,85.71428571428571,0
262,2173,594,0.4463636363636364,171,3.331942883848447,80.11695906432749,0
263,3393,952,0.4442424242424242,243,3.485126407548724,86.41975308641975,0
264,4581,1207,0.44212121212121214,318,3.352685588335841,89.937106918239,1
265,3945,1037,0.44000000000000006,278,3.654894999891734,89.92805755395683,0
266,3912,1033,0.43787878787878787,267,3.5025420818436013,88.76404494382022,1
267,2697,739,0.4357575757575758,208,3.5492456417817335,83.65384615384616,0
268,2635,690,0.4336363636363636,183,3.3809798102561244,86.33879781420765,0
269,3661,944,0.43151515151515163,261,3.500539287753489,86.20689655172413,0
270,2435,664,0.42939393939393944,209,3.5128193306580684,83.73205741626795,0
271,4718,1249,0.42727272727272725,318,3.432445705686725,93.39622641509435,1
272,5565,1446,0.42515151515151517,367,3.4529951313860736,93.73297002724796,1
273,2100,641,0.423030303030303,167,3.515816332337385,80.83832335329342,0
274,3507,901,0.420909090909091,238,3.731285158325644,89.07563025210085,0
275,3237,868,0.4187878787878788,223,3.640180371801949,89.23766816143498,0
276,4612,1435,0.41666666666666663,324,3.4867672475031863,91.66666666666666,1
277,4445,1193,0.41454545454545455,312,3.6419796500450525,89.42307692307693,1
278,2246,626,0.41242424242424236,170,3.5765730892910677,80.0,0
279,4754,1232,0.4103030303030304,316,3.6830263790450517,92.40506329113924,1
280,2979,856,0.4081818181818182,223,3.5504322909988097,84.30493273542601,0
281,2820,716,0.406060606060606,212,3.691758354317467,84.43396226415094,0
282,1930,544,0.40393939393939393,160,3.898388171941042,75.625,0
283,4726,1248,0.40181818181818196,311,3.595325029547958,91.31832797427653,1
284,3064,830,0.3996969696969698,224,3.7200925504522666,85.26785714285714,0
285,2630,735,0.3975757575757577,201,3.919720267775047,85.57213930348259,0
286,5797,1516,0.3954545454545455,387,3.895665775897891,91.21447028423772,1
287,4640,1211,0.3933333333333334,311,3.6064122244476122,90.35369774919614,0
288,2894,874,0.39121212121212134,216,3.6256952070527606,83.33333333333334,0
289,3539,1051,0.38909090909090915,258,3.8094780435857847,89.53488372093024,0
290,3287,975,0.3869696969696971,245,3.797235362383784,87.34693877551021,0
291,4171,1184,0.3848484848484849,297,3.6984120731803305,91.91919191919192,0
292,2730,708,0.3827272727272729,211,3.499938094785428,83.88625592417061,0
293,2140,524,0.3806060606060607,162,3.7690979065718473,78.39506172839506,0
294,2205,630,0.37848484848484854,191,3.923402526615802,83.24607329842932,0
295,1747,505,0.37636363636363646,148,3.9921418041796297,81.75675675675676,0
